location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status
IBE_001,41.1335,-3.5814,A-1,8,Sufficient
IBE_002,41.6718,-3.6892,A-1,10,Sufficient
IBE_003,42.3439,-3.6969,A-1,8,Moderate
IBE_004,42.6877,-2.9476,A-1,8,Sufficient
IBE_005,40.6330,-3.1660,A-2,10,Sufficient
IBE_006,41.0345,-2.4667,A-2,6,Moderate
IBE_007,41.3535,-1.6432,A-2,6,Congested
IBE_008,41.6488,-0.8891,A-2,12,Sufficient
IBE_009,41.5224,0.3489,A-2,6,Moderate
IBE_010,41.6176,0.6200,A-2,8,Sufficient
IBE_011,41.4740,1.9306,A-2,10,Congested
IBE_012,40.0108,-3.0073,A-3,8,Sufficient
IBE_013,39.5648,-1.9127,A-3,6,Moderate
IBE_014,39.4746,-1.1026,A-3,6,Congested
IBE_015,39.4951,-0.6823,A-3,10,Sufficient
IBE_016,39.3238,-3.4810,A-4,8,Sufficient
IBE_017,38.7605,-3.3841,A-4,6,Moderate
IBE_018,38.0974,-3.7632,A-4,8,Congested
IBE_019,37.8882,-4.7794,A-4,10,Moderate
IBE_020,37.6718,-4.9321,A-4,6,Sufficient
IBE_021,37.4170,-5.8931,A-4,12,Sufficient
IBE_022,39.9602,-4.8308,A-5,8,Sufficient
IBE_023,39.8916,-5.5400,A-5,6,Moderate
IBE_024,39.4609,-5.8820,A-5,6,Congested
IBE_025,38.9175,-6.3440,A-5,8,Moderate
IBE_026,40.9480,-4.6059,A-6,8,Sufficient
IBE_027,41.3083,-4.9166,A-6,6,Sufficient
IBE_028,42.0037,-5.6782,A-6,6,Moderate
IBE_029,42.5466,-6.5962,A-6,6,Congested
IBE_030,43.0099,-7.5560,A-6,8,Moderate
IBE_031,43.3048,-8.5075,A-6,10,Sufficient
IBE_032,42.4189,2.8736,A-7,8,Sufficient
IBE_033,41.6086,2.2877,A-7,10,Congested
IBE_034,41.1189,1.2445,A-7,8,Moderate
IBE_035,39.9864,-0.0376,A-7,8,Sufficient
IBE_036,39.6804,-0.2786,A-7,8,Moderate
IBE_037,38.9680,-0.1845,A-7,6,Sufficient
IBE_038,38.3452,-0.4810,A-7,10,Congested
IBE_039,37.6712,-1.7017,A-7,6,Moderate
IBE_040,36.8340,-2.4637,A-7,6,Moderate
IBE_041,36.6766,-4.4896,A-7,8,Congested
IBE_042,36.1320,-5.4470,A-7,8,Congested
IBE_043,43.4608,-3.8010,A-8,8,Moderate
IBE_044,43.3920,-4.5200,A-8,6,Congested
IBE_045,43.5322,-5.6613,A-8,8,Moderate
IBE_046,43.5450,-6.5320,A-8,6,Congested
IBE_047,39.4753,-6.3722,A-66,6,Congested
IBE_048,40.9701,-5.6635,A-66,8,Moderate
IBE_049,41.5035,-5.7468,A-66,6,Sufficient
IBE_050,42.5987,-5.5671,A-66,8,Moderate
IBE_051,42.4627,-2.4455,AP-68,8,Sufficient
IBE_052,42.3037,-1.9656,AP-68,6,Moderate
