bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_001,42.3439,-3.6969,A-1,i-DE,1200,Moderate
FRIC_002,41.0345,-2.4667,A-2,i-DE,900,Moderate
FRIC_003,41.3535,-1.6432,A-2,i-DE,900,Congested
FRIC_004,41.4740,1.9306,A-2,Endesa,1500,Congested
FRIC_005,41.5224,0.3489,A-2,Endesa,900,Moderate
FRIC_006,39.5648,-1.9127,A-3,i-DE,900,Moderate
FRIC_007,39.4746,-1.1026,A-3,i-DE,900,Congested
FRIC_008,38.7605,-3.3841,A-4,Endesa,900,Moderate
FRIC_009,38.0974,-3.7632,A-4,Endesa,1200,Congested
FRIC_010,37.8882,-4.7794,A-4,Endesa,1500,Moderate
FRIC_011,39.8916,-5.5400,A-5,i-DE,900,Moderate
FRIC_012,39.4609,-5.8820,A-5,Endesa,900,Congested
FRIC_013,38.9175,-6.3440,A-5,Endesa,1200,Moderate
FRIC_014,42.0037,-5.6782,A-6,i-DE,900,Moderate
FRIC_015,42.5466,-6.5962,A-6,i-DE,900,Congested
FRIC_016,43.0099,-7.5560,A-6,Endesa,1200,Moderate
FRIC_017,41.6086,2.2877,A-7,Endesa,1500,Congested
FRIC_018,41.1189,1.2445,A-7,Endesa,1200,Moderate
FRIC_019,39.6804,-0.2786,A-7,Endesa,1200,Moderate
FRIC_020,38.3452,-0.4810,A-7,Endesa,1500,Congested
FRIC_021,37.6712,-1.7017,A-7,Endesa,900,Moderate
FRIC_022,36.8340,-2.4637,A-7,Endesa,900,Moderate
FRIC_023,36.6766,-4.4896,A-7,Endesa,1200,Congested
FRIC_024,36.1320,-5.4470,A-7,Endesa,1200,Congested
FRIC_025,43.4608,-3.8010,A-8,Viesgo,1200,Moderate
FRIC_026,43.3920,-4.5200,A-8,Viesgo,900,Congested
FRIC_027,43.5322,-5.6613,A-8,Viesgo,1200,Moderate
FRIC_028,43.5450,-6.5320,A-8,Viesgo,900,Congested
FRIC_029,39.4753,-6.3722,A-66,Endesa,900,Congested
FRIC_030,40.9701,-5.6635,A-66,i-DE,1200,Moderate
FRIC_031,42.5987,-5.5671,A-66,i-DE,1200,Moderate
FRIC_032,42.3037,-1.9656,AP-68,i-DE,900,Moderate
